"","geneID","Symbol","H1","H2","H3","H4","CM1","CM2","CM3","CM4","CS1","CS2","CS3","CS4","CI1","CI2","CI3","CI4"
"RND1","RND1","RND1",0,0,12.3188614531451,0.998613078188818,4.65693447432199,1.93801567831658,1.23758418862808,0,2.37371687186715,1.63768408652821,2.89143256217345,29.7854271192245,0,0,0,1.14690273112963
"RP11-302B13.5","RP11-302B13.5","RP11-302B13.5",2.60546850096481,0,0,1.99722615637764,1.1642336185805,0.96900783915829,1.85637628294212,0,0,0.545894695509404,1.15657302486938,1.98569514128163,0,1.84310986772058,0,2.29380546225926
"CCDC65","CCDC65","CCDC65",1.30273425048241,6.13512625630126,12.3188614531451,9.98613078188818,11.0602193765147,7.75206271326632,1.23758418862808,3.24627515349753,0,2.72947347754702,6.93943814921628,8.93562813576734,0,3.68621973544116,1.1101833189408,0
"FKBP11","FKBP11","FKBP11",2.60546850096481,0,7.39131687188706,5.99167846913291,3.49270085574149,2.90702351747487,1.23758418862808,3.24627515349753,2.37371687186715,2.72947347754702,5.20457861191221,4.46781406788367,0,3.68621973544116,4.44073327576318,1.14690273112963
"ARF3","ARF3","ARF3",526.304637194892,348.168415045097,1113.62507536432,451.373111341346,603.655131233988,404.076268929007,595.896786824421,480.448722717634,667.01444099467,712.938472335282,429.08859222654,577.340862327634,867.823402421516,706.832634270842,738.271907095629,521.840742663982
"WNT10B","WNT10B","WNT10B",1.30273425048241,7.66890782037658,12.3188614531451,2.99583923456645,8.73175213935373,5.81404703494974,6.1879209431404,3.89553018419704,4.74743374373431,2.18357878203762,13.3005897859979,4.46781406788367,11.532536909256,0,0,3.44070819338889
"DDN","DDN","DDN",0,0,0,0,5.23905128361224,0.96900783915829,2.47516837725616,0,1.18685843593358,2.18357878203762,0,0,0,0,0,0
"PRKAG1","PRKAG1","PRKAG1",84.6777262813564,73.6215150756152,638.117023272916,84.8821116460496,172.888692359204,114.342925020678,112.620161165155,149.328657060886,149.544162927631,151.758725351614,157.293931382236,174.244748647463,109.559100637932,126.25302593886,158.756214608534,150.244257777982
"KMT2D","KMT2D","KMT2D",161.539047059818,190.188913945339,81.3044855907577,72.8987547077837,79.1678860634738,79.4586428109798,133.659092371833,70.1195433155466,87.8275242590847,69.8745210252037,89.0561229149422,99.2847570640816,144.1567113657,117.959031534117,113.238698531961,79.1362884479445
"RHEBL1","RHEBL1","RHEBL1",9.11913975337684,10.7364709485272,224.203278447241,41.9417492839304,48.3156951710906,36.822297888015,19.8013470180493,39.6045568726699,26.1108855905387,20.198103733848,73.4423870792056,26.806884407302,0,13.8233240079044,4.44073327576318,25.2318600848519
