"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",179,0.442247421961657,2.05766745512885,1.00259637095693e-08,4.5572562316224e-08,2.11072920201459e-08,2493,"tags=36%, list=19%, signal=29%","IFITM3/PHLDA1/PNP/CD83/AHR/NFKBIZ/PTGER2/KLF6/EMP1/CXCL10/GADD45B/MXD1/CDC6/TLR7/PLIN2/PLSCR1/RGS16/SLC39A8/CA2/TNFSF10/XBP1/IL10/P2RX4/SPRED2/IFNGR1/MAFF/PIM1/IL2RA/ARL4A/SOCS1/NFIL3/CISH/FGL2/IL1R2/TGM2/CDCP1/DENND5A/MAP3K8/BHLHE40/SLC2A3/TRAF1/RNH1/BATF3/SNX9/SNX14/CCNE1/ADAM19/IL18R1/PDCD2L/FLT3LG/RORA/PLEC/SELL/LRIG1/MYC/IL2RB/HK2/POU2F1/ITGAV/CD86/CKAP4/SH3BGRL2/LRRC8C/SLC1A5"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",86,0.548214681342766,2.2796315763506,2.99437311451578e-08,1.24765546438158e-07,5.77861478239888e-08,2390,"tags=44%, list=18%, signal=37%","SGK1/UBE2J1/INSIG1/ELL2/RRP12/SRP19/KRT8/TPD52/STEAP4/SAT1/GNAI3/LMAN1/IDI1/INPP4B/ACSL3/ZMIZ1/MYL12A/NCOA4/PIAS1/HMGCR/NGLY1/ZBTB10/DHCR24/SLC38A2/CENPN/VAPA/CAMKK2/AKT1/HERC3/MAF/HMGCS1/TMEM50A/SEC24D/ARID5B/TSC22D1/ITGAV/FKBP5/DNAJB9"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",152,0.451696607320274,2.06748565999712,3.40668598730731e-08,1.31026384127204e-07,6.06859042273366e-08,2035,"tags=29%, list=15%, signal=25%","C3AR1/PPP1R15A/EREG/CCL20/G0S2/SPRY2/TRIB1/MAFB/EMP1/CXCL10/PTGS2/TMEM158/IL1B/FCER1G/YRDC/RGS16/PRDM1/CA2/EPHB2/PLAUR/DUSP6/GLRX/HBEGF/TNFAIP3/ID2/GADD45G/LY96/ANGPTL4/INHBA/TRAF1/SCN1B/CAB39L/PSMB8/KLF4/GALNT3/TLR8/PLAU/MMP9/DOCK2/RBM4/KCNN4/GPNMB/SLPI/PTBP2"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",152,0.439425806912903,2.01132029707922,1.5681853037177e-07,5.60066179899178e-07,2.59399072795409e-07,2251,"tags=36%, list=17%, signal=30%","EREG/IFITM3/ATF3/CD69/JUN/FAS/EMP1/CDKN1A/GADD45B/IL6/MCL1/F2/IL1B/PMAIP1/TOP2A/SAT1/GCH1/SOD2/EGR3/TIMP1/GNA15/TNFRSF12A/TNFSF10/ISG20/FDXR/IFNGR1/DNAJC3/GADD45A/CCNA1/LGALS3/IL1A/DDIT3/DPYD/CD38/PDGFRB/SC5D/DNAJA1/CLU/HGF/CD14/BID/IER3/CFLAR/CASP4/ADD1/CTH/GPX3/IFNB1/ANXA1/VDAC2/XIAP/HMGB2/CASP7/BTG3"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",173,0.401561406089286,1.87217734000802,1.62379772389667e-06,5.41265907965557e-06,2.50691578426153e-06,1112,"tags=21%, list=8%, signal=20%","TLR2/CCL7/EREG/CCL2/IFNGR2/FAS/UBE2D1/CCR1/IL6/CCL4/SPI1/TPD52/F2/IL1B/NLRP3/ACVR2A/ST8SIA4/SRGN/STAT1/RIPK2/UBE2N/TIMP1/IRF7/IL10/LYN/IFNGR1/IL2RA/EIF5A/SOCS1/CCR5/EIF3J/ICAM1/IGSF6/GBP2/HIF1A/EIF4G3/INHBA"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",67,0.499735030509798,1.98486453711269,3.66919986825462e-05,0.000114662495882957,5.31068401984221e-05,1631,"tags=36%, list=12%, signal=32%","ATF3/STARD4/LDLR/ANXA5/SQLE/PLSCR1/S100A11/PLAUR/TNFRSF12A/IDI1/PNRC1/LGALS3/NFIL3/LSS/JAG1/CPEB2/SC5D/FASN/HMGCR/CLU/TP53INP1/FBXO6/PPARG/STX5"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",145,0.393162281916817,1.79420910299788,5.67445546083209e-05,0.000166895748848003,7.72990836769697e-05,1158,"tags=20%, list=9%, signal=18%","SERPINE1/CXCL1/PTX3/SDC1/JUN/FAS/AREG/GADD45B/IL6/SAT1/TIMP1/PLAUR/TNFRSF12A/SDC4/GADD45A/COPA/VEGFA/TNFAIP3/ID2/TPM4/EMP3/TGM2/PDGFRB/ITGA5/VIM/LOXL2/INHBA/GPX7/NOTCH2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",195,0.359103640433114,1.68250840375198,9.00585481972384e-05,0.000250162633881218,0.000115864798850248,2652,"tags=31%, list=20%, signal=25%","CCNB2/KLC1/KIF4A/CDK1/RANBP9/FGD4/NUSAP1/TOP2A/MARCKS/BUB1/PPP4R2/ARF6/RAPGEF6/FBXO5/PLK1/RAB3GAP1/ESPL1/WASF1/RICTOR/NUMA1/CD2AP/TPX2/MAP3K11/TTK/CENPE/DLGAP5/STK38L/ECT2/CSNK1D/DOCK4/YWHAE/ITSN1/ANLN/SSH2/NOTCH2/SMC3/BIRC5/MAP1S/CCDC88A/AKAP13/RFC1/BRCA2/PRC1/KIF2C/DOCK2/CLIP1/CLASP1/AURKA/CNTROB/ABR/CDC27/CDC42/MAPRE1/ABI1/PAFAH1B1/SASS6/PKD2/TUBGCP5/ABL1/DST/WASF2"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",181,0.364628848194454,1.70364290135734,0.000118801598431506,0.000312635785346069,0.000144799732160285,1742,"tags=26%, list=13%, signal=23%","PPP1R15A/ATF3/RRAD/SDC1/JUN/FAS/NINJ1/CDKN1A/MXD1/TCN2/PTPRE/DRAM1/DDIT4/RB1/SAT1/CDKN2B/SPHK1/RGS16/RPS27L/TSPYL2/ST14/PLK3/FDXR/HBEGF/GADD45A/PCNA/MDM2/IL1A/DDIT3/SOCS1/PHLDA3/FOXO3/SLC7A11/GM2A/NOL8/RHBDF2/KIF13B/ACVR1B/DNTTIP2/PLXNB2/CCNG1/TRAFD1/KLF4/IER3/RAP2B/MXD4/TPRKB"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",104,0.411608927042463,1.75936514930498,0.000243166734006445,0.000607916835016112,0.000281561481481147,3277,"tags=44%, list=24%, signal=34%","CCL2/ATF3/EIF4G1/STC2/NABP1/IFIT1/DDIT4/CHAC1/TSPYL2/XBP1/DNAJC3/SPCS1/VEGFA/MTHFD2/EIF4A1/HSP90B1/SLC7A5/EIF4E/FKBP14/WIPI1/EIF4A2/SEC31A/HSPA9/EDEM1/WFS1/SERP1/EXOSC10/CNOT2/PSAT1/PAIP1/DNAJB9/DCTN1/NOLC1/EIF2S1/KDELR3/CNOT6/TUBB2A/FUS/EIF4A3/PDIA5/DCP2/NFYA/RRP9/KHSRP/ERN1/CNOT4"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",110,0.40324129971977,1.74871448867069,0.000289972089208329,0.000690409736210307,0.000319768719928984,2154,"tags=25%, list=16%, signal=21%","SERPINE1/THBD/SERPINB2/SERPING1/F2/PLEK/OLR1/ADAM9/TIMP1/F3/DUSP6/MAFF/ARF4/DPP4/GNB2/CAPN2/CLU/PEF1/FYN/SH2B2/PLAU/C3/MMP9/C1QA/LAMP2/ANXA1/GP1BA"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",160,0.364297821298253,1.6680094800609,0.000469476875589233,0.00106699289906644,0.000494186184830772,2388,"tags=27%, list=18%, signal=22%","SGK1/PPIF/NRIP1/NAB2/ZFP36/AREG/STIL/CDC6/TOP2A/DUSP2/CA2/EGR3/ISG20/ST14/XBP1/RAPGEFL1/MYOF/CCNA1/ID2/CISH/SNX10/SLC7A5/RBBP8/CDC20/NXT1/METTL3/IMPA2/DYNLT3/UNC13B/AFF1/KLF4/IL6ST/PLXNB1/JAK2/KCNK5/WFS1/CHPT1/ADD3/BTG3/HPRT1/FOS/FKBP5/JAK1"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",92,0.401077705168982,1.68607540171654,0.00118267954121182,0.00257104248089526,0.00119079862273043,3422,"tags=47%, list=26%, signal=35%","GOLGA4/TPD52/ABCA1/NAPG/LMAN1/AP1G1/COPB1/AP3S1/COPB2/ADAM10/TMX1/AP3B1/TSG101/ARFGAP3/SEC31A/CTSC/GBF1/VPS45/SGMS1/ARFGEF2/LAMP2/COPE/ANP32E/ARF1/SEC24D/SSPN/VAMP4/ARCN1/SNX2/IGF2R/DST/ARFIP1/TMED2/M6PR/ATP7A/PAM/OCRL/RAB22A/USO1/VAMP7/CLN5/STAM/MAPK1"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",136,0.335430550377576,1.50593416993267,0.00371894999663279,0.00774781249298498,0.00358846052306673,1658,"tags=21%, list=12%, signal=19%","CXCL2/PPIF/FOSB/ATF3/RRAD/IL6/NFKBIA/DDX21/GCH1/CDKN2B/SOD2/GLS/CA2/ALAS1/LYN/GGH/EIF5/NR4A1/TFRC/ICAM1/CREG1/DNAJA1/HSPA2/PRKCD/BID/RASGRP1/CCNE1/IL6ST/CNP"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",167,0.317430110117419,1.46982495290123,0.00521999195713051,0.010439983914261,0.00483536097081563,2314,"tags=24%, list=17%, signal=20%","PPIF/NRIP1/STC2/RRP12/AREG/KRT8/PMAIP1/EGR3/XBP1/RAPGEFL1/MYOF/CISH/SLC7A5/SLC39A6/TGM2/MED13L/RBBP8/FASN/NXT1/BHLHE40/SVIL/ELF1/DYNLT3/AFF1/RASGRP1/HES1/KLF4/SH3BP5/KLF10/IL6ST/JAK2/KCNK5/WFS1/LRIG1/MYC/CHPT1/WWC1/ADD3/FOS/FKBP5"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",127,0.33846165751291,1.50541378743741,0.0056423802297314,0.0108507312110219,0.00502560182405226,3040,"tags=35%, list=23%, signal=27%","SERPINE1/DUSP1/LDLR/INSIG1/ATP2B1/NFKB1/ACVR2A/F3/INPP4B/CDK13/ZMIZ1/SLC7A1/ATP2C1/PDGFRB/ADORA2B/LPAR1/PTEN/SYNJ2/NOTCH2/SRI/BHLHE40/FYN/MAPK14/PTGFR/SDC2/PPARG/RUNX1/LAMC1/MYC/LTBP1/MT1E/ADD3/NIPBL/CELF2/DAB2/NEK7/MGLL/PEX14/SMAD7/ANXA4/PHF3/SLC22A18/DYRK1A/WDR37"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",158,0.314207645017588,1.4408153359262,0.011363724904401,0.0210439350081499,0.00974666463535365,1236,"tags=16%, list=9%, signal=15%","SERPINE1/FAS/NINJ1/PYCR1/AQP9/SERTAD1/IGF1/UPB1/GCH1/MCCC2/CA2/ALAS1/ARPP19/PTS/ETS2/MAN1A1/IDH1/ID2/MTHFD1/IL1R1/TPST1/GART/MT2A/CD36/SLC6A6/ITIH4"
